GEO_ID,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Male,Estimate!!SEX AND AGE!!Female,Estimate!!SEX AND AGE!!Under 5 years,Estimate!!SEX AND AGE!!5 to 9 years,Estimate!!SEX AND AGE!!10 to 14 years,Estimate!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Estimate!!SEX AND AGE!!25 to 34 years,Estimate!!SEX AND AGE!!35 to 44 years,Estimate!!SEX AND AGE!!45 to 54 years,Estimate!!SEX AND AGE!!55 to 59 years,Estimate!!SEX AND AGE!!60 to 64 years,Estimate!!SEX AND AGE!!65 to 74 years,Estimate!!SEX AND AGE!!75 to 84 years,Estimate!!SEX AND AGE!!85 years and over,Estimate!!SEX AND AGE!!Median age (years),Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!62 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!RACE!!White,Estimate!!RACE!!Black or African American,Estimate!!RACE!!American Indian and Alaska Native,Estimate!!RACE!!Asian,Estimate!!RACE!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race),Estimate!!Total housing units
36001000100,2308,1111,1197,204,162,346,118,143,318,346,271,119,59,174,27,21,31.2,1563,1450,262,222,911,1286,0,10,0,195,376,962
36001000200,5506,2710,2796,431,561,578,594,548,778,661,440,351,178,247,105,34,25.5,3456,3213,438,386,1049,4421,0,348,0,104,346,3014
36001000300,6471,3010,3461,534,473,662,422,433,794,696,969,283,204,410,341,250,32.8,4498,4290,1106,1001,3212,2973,35,164,0,313,604,2823
36001000401,2211,871,1340,61,9,42,51,50,159,251,275,77,73,270,422,471,68.1,2068,2048,1214,1163,1955,204,30,22,0,17,26,1150
36001000403,4672,2143,2529,258,196,155,6,681,1100,467,605,322,202,340,291,49,33.7,4063,3979,798,680,3365,297,38,1120,57,26,45,2447
36001000404,5129,2548,2581,0,0,0,3395,1656,26,0,19,0,11,11,11,0,19.5,5013,625,33,22,3506,668,65,561,0,377,620,32
36001000501,3247,1814,1433,139,160,150,249,294,425,355,637,268,175,212,122,61,40.8,2618,2549,513,395,2223,1007,200,121,0,65,295,1796
36001000502,3914,1743,2171,15,113,36,1460,1041,397,233,337,39,55,110,21,57,20.9,3611,1937,201,188,2997,787,113,200,13,165,227,1011
36001000600,3694,2088,1606,236,106,226,393,1135,284,425,363,224,77,100,116,9,23.2,2930,2541,262,225,1601,1453,64,277,0,351,590,1651
36001000700,4237,1733,2504,490,358,399,352,291,626,581,511,90,139,254,111,35,28.1,2877,2638,458,400,657,3443,207,0,0,184,437,2090
