GEO_ID,Total!!Estimate!!All households,Mean income (dollars)!!Estimate!!All households
36001000100,848,41155
36001000200,2241,32479
36001000300,2594,47351
36001000401,1062,75468
36001000403,2289,60773
36001000404,32,40388
36001000501,1581,34083
36001000502,823,55365
36001000600,1295,36033
36001000700,1533,33102
36001000800,899,33821
36001001100,699,25057
36001001400,2530,62876
36001001500,1991,41616
36001001600,1695,48802
36001001700,1884,80420
36001001801,3368,85708
36001001802,2075,58732
36001001901,1204,77159
36001001902,1236,80001
36001002000,2316,56849
36001002100,1163,39978
36001002200,1455,47455
36001002300,1083,39835
36001002500,1137,33244
36001002600,2135,45401
36001012700,1262,64075
36001012800,1681,38113
36001012900,1691,33413
36001013000,2953,63010
36001013100,1178,57344
36001013200,1668,42853
36001013300,2100,46996
36001013400,1009,58151
36001013503,1736,75247
36001013505,1007,83938
36001013506,2619,74776
36001013507,1155,92712
36001013508,2475,105329
36001013601,3030,90035
36001013602,1886,93037
36001013703,616,114003
36001013705,2729,79832
36001013706,806,137258
36001013707,2380,98524
36001013801,2917,79782
36001013802,1536,101425
36001013901,1045,72630
36001013902,2170,96444
36001014001,1983,62375
36001014002,1891,63308
36001014100,2153,94727
36001014201,2227,96040
36001014202,2370,112106
36001014203,2391,108706
36001014301,981,71325
36001014302,2833,104262
36001014401,1648,73708
36001014402,1350,62653
36001014501,931,116539
36001014502,1359,103359
36001014503,1119,86868
36001014606,1419,95788
36001014607,3153,108210
36001014608,1198,77840
36001014609,2372,78924
36001014611,756,94726
36001014612,657,80634
36001014613,1215,79048
36001014614,2269,105752
36001014615,1121,85160
36001014700,962,82246
36001014801,1140,69778
36001014802,743,67899
36001014803,1333,71046
36003940200,0,-
36003950100,1100,55463
36003950300,1507,50232
36003950400,1471,54983
36003950500,1664,53382
36003950600,1540,46201
36003950700,1892,51605
36003950800,1504,58596
36003950900,1668,50993
36003951000,1444,48946
36003951100,1463,46175
36003951200,2145,49784
36003951300,1589,50815
36005000100,0,-
