GEO_ID,Estimate!!Number!!HOUSEHOLD INCOME!!All households,Estimate!!Mean income (dollars)!!HOUSEHOLD INCOME!!All households
36001000100,858,64637
36001000201,1329,79578
36001000202,1148,58258
36001000301,1066,44391
36001000302,1883,98807
36001000401,1081,102675
36001000403,2047,112269
36001000404,97,127936
36001000501,1729,46444
36001000502,962,86461
36001000600,1273,39816
36001000700,1457,73934
36001000800,771,38570
36001001100,1486,61279
36001001400,2713,84930
36001001500,2480,54002
36001001600,1872,82700
36001001700,1985,115216
36001001802,2102,101004
36001001803,1835,129051
36001001804,1681,125629
36001001901,1139,123170
36001001902,1129,108304
36001002000,2537,94052
36001002100,1538,92825
36001002200,1562,75268
36001002300,1158,54479
36001002500,1494,45262
36001002600,1945,80693
36001012700,1851,84397
36001012800,1622,58775
36001012900,1800,54616
36001013000,3130,92407
36001013100,1603,92156
36001013200,1495,63888
36001013300,2344,65233
36001013400,1251,81800
36001013503,2024,130008
36001013505,1133,100828
36001013507,1152,99171
36001013509,1276,121415
36001013510,1610,129892
36001013511,1420,166764
36001013512,1483,134538
36001013602,2065,96224
36001013603,1349,132218
36001013604,2376,163129
36001013703,708,132483
36001013706,707,239542
36001013707,2504,203462
36001013708,1703,127493
36001013709,1267,134448
36001013802,1651,136327
36001013803,1504,93618
36001013804,1869,98615
36001013901,976,99093
36001013902,2217,112708
36001014001,1830,99261
36001014002,1910,96899
36001014100,2496,163798
36001014201,2368,162584
36001014202,2700,142540
36001014203,2625,167742
36001014301,1304,103527
36001014303,1717,162810
36001014304,1512,109996
36001014401,1696,134213
36001014402,1442,98114
36001014501,1128,174034
36001014502,1332,157923
36001014503,1083,129714
36001014606,1436,143541
36001014608,1354,106553
36001014609,2288,113906
36001014611,905,182984
36001014612,718,119869
36001014613,1140,116327
36001014614,2308,178890
36001014615,1461,104422
36001014616,2109,166634
36001014617,978,155415
36001014700,1064,127402
36001014801,1197,107570
36001014802,909,105689
36001014803,1246,119364
36003940200,0,-
36003950100,977,79915
36003950300,1399,80631
36003950401,666,83518
36003950402,832,86913
36003950500,1695,80656
36003950600,1384,70060
36003950700,1692,70283
36003950800,1578,80145
36003950900,1493,78710
36003951000,1285,74142
36003951100,1384,77028
36003951201,928,74392
36003951202,1041,65789
36003951301,538,69765
36003951302,818,75963
36005000100,0,-
36005000200,1416,136605
36005000400,2218,116776
36005001600,2083,78641
36005001901,1149,83357
36005001902,624,75299
36005001903,0,-
36005001904,0,-
36005002001,1729,34259
36005002002,1808,46112
36005002300,1904,31151
36005002400,0,-
