GEO_ID,Estimate!!Median contract rent
36001000100,741
36001000201,820
36001000202,580
36001000301,871
36001000302,1085
36001000401,1175
36001000403,891
36001000404,-
36001000501,779
36001000502,984
36001000600,847
36001000700,861
36001000800,683
36001001100,782
36001001400,888
36001001500,807
36001001600,960
36001001700,1053
36001001802,969
36001001803,1057
36001001804,932
36001001901,1040
36001001902,-
36001002000,976
36001002100,918
36001002200,915
36001002300,738
36001002500,682
36001002600,748
36001012700,1066
36001012800,732
36001012900,756
36001013000,892
36001013100,738
36001013200,672
36001013300,819
36001013400,810
36001013503,697
36001013505,1101
36001013507,1250
36001013509,897
36001013510,1051
36001013511,1699
36001013512,995
36001013602,1173
36001013603,816
36001013604,1193
36001013703,808
36001013706,1643
36001013707,1249
36001013708,1453
36001013709,995
36001013802,1601
36001013803,676
36001013804,803
36001013901,1375
36001013902,1147
36001014001,1094
36001014002,895
36001014100,1213
36001014201,1117
36001014202,1045
36001014203,1298
36001014301,833
36001014303,1291
36001014304,1430
36001014401,735
36001014402,814
36001014501,-
36001014502,665
36001014503,866
36001014606,-
36001014608,856
36001014609,1171
36001014611,1130
36001014612,800
36001014613,822
36001014614,1250
36001014615,1145
36001014616,1035
36001014617,-
36001014700,1074
36001014801,716
36001014802,872
36001014803,540
36003940200,-
36003950100,604
36003950300,474
36003950401,411
36003950402,486
36003950500,496
36003950600,495
36003950700,537
36003950800,589
36003950900,470
36003951000,498
36003951100,566
36003951201,533
36003951202,534
36003951301,527
36003951302,546
36005000100,-
36005000200,1449
36005000400,1322
36005001600,853
36005001901,1110
36005001902,1379
36005001903,-
36005001904,-
36005002001,374
36005002002,-
36005002300,476
36005002400,-
36005002500,916
36005002701,491
36005002702,886
36005002800,937
36005003100,1203
36005003300,846
36005003500,989
36005003700,911
36005003800,925
36005003900,944
36005004001,1073
36005004100,567
36005004200,1054
36005004300,667
36005004400,480
36005004600,908
36005004800,1075
36005005001,1201
36005005002,1177
36005005100,488
36005005200,784
36005005300,1218
36005005400,1224
36005005600,987
36005005902,1082
36005006000,1070
36005006100,1146
36005006200,821
36005006301,1189
36005006302,-
36005006400,1286
36005006500,1026
36005006700,767
36005006800,1385
36005006900,1089
36005007000,1346
36005007100,980
36005007200,1119
36005007300,922
36005007400,1212
36005007500,964
36005007600,1258
36005007700,888
36005007800,1413
36005007900,887
36005008300,866
36005008400,1393
36005008500,940
36005008600,650
36005008700,980
36005008900,830
36005009000,693
36005009200,1288
