GEO_ID,Estimate!!Median value (dollars)
36001000100,145000
36001000201,193500
36001000202,85100
36001000301,76100
36001000302,195700
36001000401,175300
36001000403,208500
36001000404,-
36001000501,158000
36001000502,205100
36001000600,68300
36001000700,79300
36001000800,114100
36001001100,-
36001001400,207200
36001001500,189000
36001001600,187000
36001001700,228800
36001001802,184500
36001001803,246300
36001001804,220200
36001001901,209000
36001001902,177000
36001002000,152600
36001002100,152000
36001002200,208000
36001002300,165600
36001002500,157700
36001002600,87800
36001012700,168500
36001012800,102200
36001012900,175700
36001013000,176500
36001013100,133900
36001013200,137500
36001013300,156600
36001013400,155300
36001013503,291200
36001013505,231400
36001013507,267000
36001013509,243400
36001013510,239800
36001013511,331500
36001013512,303900
36001013602,247300
36001013603,298700
36001013604,272300
36001013703,258100
36001013706,363200
36001013707,286600
36001013708,258900
36001013709,246700
36001013802,264400
36001013803,212200
36001013804,220100
36001013901,212900
36001013902,235800
36001014001,190200
36001014002,204200
36001014100,267800
36001014201,269100
36001014202,281500
36001014203,298700
36001014301,218800
36001014303,312800
36001014304,217600
36001014401,212200
36001014402,171400
36001014501,299400
36001014502,274200
36001014503,237900
36001014606,246100
36001014608,221900
36001014609,202700
36001014611,354500
36001014612,244800
36001014613,253300
36001014614,319500
36001014615,363700
36001014616,304400
36001014617,254000
36001014700,250600
36001014801,220000
36001014802,202200
36001014803,195500
36003940200,-
36003950100,89600
36003950300,99100
36003950401,85000
36003950402,81000
36003950500,82600
36003950600,57800
36003950700,82000
36003950800,99500
36003950900,74600
36003951000,65300
36003951100,77500
36003951201,62600
36003951202,81500
36003951301,72800
36003951302,78800
36005000100,-
36005000200,426200
36005000400,437600
36005001600,575200
36005001901,-
36005001902,350000
36005001903,-
36005001904,-
36005002001,-
36005002002,447100
36005002300,-
36005002400,-
36005002500,653800
36005002701,-
36005002702,-
36005002800,289800
36005003100,242300
36005003300,476400
36005003500,594900
36005003700,-
36005003800,578800
36005003900,842300
36005004001,483000
36005004100,628300
36005004200,-
36005004300,494600
36005004400,562500
36005004600,62700
36005004800,378300
36005005001,576600
36005005002,567800
36005005100,-
36005005200,-
36005005300,-
36005005400,470600
36005005600,471600
36005005902,254000
36005006000,413300
36005006100,25000
36005006200,-
36005006301,335800
36005006302,-
36005006400,474800
36005006500,-
36005006700,-
36005006800,620300
36005006900,-
36005007000,466900
36005007100,252800
36005007200,561000
36005007300,-
36005007400,480700
36005007500,254600
36005007600,606000
36005007700,380500
36005007800,476900
36005007900,-
36005008300,408100
36005008400,572600
36005008500,295900
36005008600,615700
36005008700,-
36005008900,56200
36005009000,423400
36005009200,559800
36005009301,441300
36005009302,-
36005009600,461500
36005009800,435300
36005011000,-
36005011502,-
36005011701,478600
36005011702,-
36005011800,433800
36005011900,468500
36005012101,422100
36005012102,-
36005012300,770600
36005012500,530900
36005012701,331300
36005012901,541700
36005013000,554300
36005013100,496300
36005013200,558100
36005013300,346100
36005013500,413200
36005013800,303000
36005014100,319000
36005014300,-
36005014400,492500
36005014500,-
36005014701,-
36005014702,-
36005014900,-
36005015100,528400
36005015200,537000
36005015300,436700
36005015500,-
36005015700,472700
36005015800,569400
36005015900,585900
36005016000,485200
36005016100,-
36005016200,490200
36005016300,-
36005016400,526500
36005016500,-
36005016600,498700
36005016700,458800
36005016900,530400
36005017100,-
36005017300,-
36005017500,-
36005017701,568400
36005017702,367600
36005017901,335600
36005017902,-
36005018101,661900
36005018102,-
36005018301,324600
36005018302,211500
36005018400,475800
36005018501,-
36005018502,-
36005018900,-
36005019300,-
36005019400,501800
36005019500,521700
36005019700,-
36005019900,-
36005020000,458700
36005020100,-
36005020200,592500
36005020400,563700
36005020501,-
36005020502,598200
36005020601,556700
36005020900,-
36005021001,206700
36005021002,155400
36005021100,574400
36005021200,156300
36005021301,334400
36005021302,-
36005021501,-
36005021502,310700
36005021601,547000
36005021602,133200
36005021700,-
36005021800,400000
36005021900,-
36005022000,-
36005022101,-
36005022102,-
36005022200,429300
36005022300,-
36005022401,149000
36005022403,193900
36005022404,178300
36005022500,466100
36005022701,-
36005022702,-
36005022703,-
36005022800,578000
36005022901,580000
36005022902,750000
36005023000,575400
36005023100,653800
36005023200,537600
36005023301,505000
36005023302,-
36005023501,-
36005023502,-
36005023600,486400
36005023702,-
36005023703,-
36005023704,-
36005023800,610000
36005023900,-
36005024000,457700
36005024100,718800
36005024300,-
36005024400,503100
36005024501,-
36005024502,-
36005024600,619700
36005024700,-
36005024800,502600
36005024900,-
36005025000,519400
36005025100,567000
36005025200,553500
36005025300,-
36005025400,515100
36005025500,608800
36005025600,523500
36005025700,472200
36005026100,181300
36005026300,-
36005026400,472300
36005026500,-
36005026601,547700
36005026602,378200
36005026701,-
36005026702,615900
36005026900,242900
36005027300,-
36005027401,577600
36005027402,625700
36005027600,-
36005027700,-
36005027900,136200
36005028100,38400
36005028300,-
36005028400,-
36005028500,-
36005028600,492400
36005028700,586400
36005028800,596900
36005028900,267300
36005029301,488600
36005029302,293400
36005029500,335000
36005029600,508000
36005029700,369100
36005030000,518700
36005030100,283200
36005030201,38500
36005030202,32300
36005030701,408500
36005030900,382600
36005031000,545900
36005031200,476700
36005031400,563400
36005031600,599700
36005031800,597400
36005031900,-
36005032300,263500
36005032400,604000
36005032600,579400
36005032800,475000
36005033000,472600
36005033201,207900
36005033202,208300
36005033400,-
36005033500,327100
36005033601,-
36005033602,215400
36005033700,690500
36005033801,514200
36005033802,-
36005034000,446700
36005034200,460600
36005034300,601000
36005034400,502300
36005034500,554200
36005034800,468400
36005035000,463800
36005035100,267600
36005035600,400500
36005035800,473500
36005035900,-
36005036000,486800
36005036100,-
36005036300,470100
36005036400,467100
36005036501,-
36005036502,609800
36005036700,468800
36005036800,477100
36005036901,-
36005036902,435300
36005037000,433400
36005037100,431900
36005037200,437100
36005037300,-
36005037400,434000
36005037504,-
36005037600,409700
36005037800,-
36005037900,621300
36005038000,305500
36005038100,417200
36005038200,479200
36005038301,-
36005038303,-
36005038304,-
36005038500,619700
36005038600,479100
36005038700,283000
36005038800,438800
36005038900,522700
36005039000,397600
36005039100,274100
36005039200,550400
36005039300,382800
36005039400,-
36005039500,361300
36005039600,490400
36005039700,-
36005039800,463100
36005039901,-
36005039902,-
36005040100,-
36005040302,-
36005040303,466100
36005040304,-
36005040400,455900
36005040501,571800
36005040502,515400
36005040600,501600
36005040701,-
36005040702,427800
36005040800,579400
36005040900,160800
36005041100,163300
36005041300,199700
36005041400,488800
36005041500,-
36005041800,496900
36005041900,-
36005042000,602600
36005042100,100300
36005042200,465200
36005042300,406300
36005042400,436300
36005042500,-
36005042600,553500
36005042800,474200
36005042901,741100
36005042902,404300
36005043000,533200
36005043101,-
36005043102,166000
36005043400,496500
36005043501,-
36005043502,-
36005043503,-
36005043600,410700
36005044200,337300
36005044400,458000
36005044800,501100
36005044901,460900
36005044902,496200
36005045101,416100
36005045102,-
36005045600,486800
36005045800,-
36005046000,435900
36005046203,19600
36005046204,-
36005046205,24500
36005046206,24100
36005046207,19700
36005046208,423800
36005046209,164200
36005048401,515400
36005048402,-
36005050400,-
36005051601,588200
36005051602,-
36007000100,108600
36007000200,68900
36007000300,71400
36007000400,76500
36007000500,65700
36007000600,76600
36007000700,82200
36007000900,83800
36007001100,553600
36007001200,81700
36007001300,-
36007001401,-
36007001402,138400
36007001500,122600
36007001600,160100
36007001700,87400
36007001800,79200
36007010200,112400
36007011901,114800
36007011902,112300
36007011903,91400
36007012000,129100
36007012101,147500
36007012102,160400
36007012103,134600
36007012201,116600
36007012202,111700
36007012300,133600
36007012400,129700
36007012501,157400
36007012502,118500
36007012600,99000
36007012701,117000
36007012702,160200
36007012800,113100
36007012900,150200
36007013000,152700
36007013100,92000
36007013201,117000
36007013202,155400
36007013301,103600
36007013303,126600
36007013304,180300
36007013400,88300
36007013500,72700
36007013600,91200
36007013700,88600
36007013800,87700
36007013900,100100
36007014000,72800
36007014100,89800
36007014200,164000
36007014301,223600
36007014302,165400
36007014400,150600
36007014500,130600
36007014600,152000
36009940000,91300
36009940200,-
36009940301,73600
36009940302,62600
36009960100,100200
36009960200,82900
36009960300,132400
36009960400,87900
36009960500,82800
36009960600,90600
36009960703,104600
36009960704,254200
36009960800,81800
36009961000,100700
36009961100,126400
36009961200,86600
36009961301,76300
36009961302,109800
36009961400,90600
36009961500,70600
36009961600,69700
36009961700,64800
36009961800,101200
36009962200,93600
36011040101,108700
36011040102,119600
36011040201,133600
36011040202,121800
36011040300,96500
36011040400,120500
36011040500,129400
36011040600,186500
36011040700,174900
36011040800,147100
36011040900,142700
36011041001,147600
36011041002,169900
36011041101,193700
36011041102,139500
36011041201,139800
36011041202,128000
36011041300,83600
36011041400,96800
36011041500,108000
36011041600,132200
36011041700,120200
36011041800,128800
36011042100,83700
36011990200,-
36013030100,70300
36013030200,65900
36013030300,31800
36013030400,71200
36013030500,54700
36013030600,54300
36013030700,71000
36013030800,68400
36013035100,99500
36013035300,133100
36013035400,59900
36013035500,63100
36013035600,70000
36013035700,79100
36013035800,136500
36013035901,147300
36013035902,162500
36013036000,124700
36013036100,88000
36013036300,99300
36013036401,128700
36013036402,108100
36013036500,78400
36013036600,105000
36013036700,105000
36013036801,106000
36013036802,105300
36013036901,109400
36013036902,163400
36013037000,141200
