GEO_ID,All families!!Total!!Estimate!!Families,All families!!Total!!Estimate!!Families!!Below poverty level,All families!!Percent below poverty level!!Estimate!!Families,All families!!Total!!Estimate!!Householder worked,All families!!Total!!Estimate!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate,All families!!Total!!Estimate!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency),"All families!!Total!!Estimate!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree",All families!!Total!!Estimate!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher
36001000100,540,168,31.1,362,133,200,125,82
36001000200,1276,592,46.4,874,272,544,320,140
36001000300,1465,415,28.3,1030,460,602,163,240
36001000401,381,11,2.9,257,0,58,107,216
36001000403,927,56,6,679,95,207,76,549
36001000404,21,0,0,10,0,11,10,0
36001000501,569,99,17.4,342,128,123,184,134
36001000502,301,30,10,219,40,140,28,93
36001000600,537,194,36.1,441,118,168,151,100
36001000700,1034,344,33.3,696,187,343,407,97
36001000800,422,121,28.7,273,171,98,75,78
36001001100,76,0,0,72,15,19,10,32
36001001400,341,40,11.7,298,0,13,58,270
36001001500,515,75,14.6,359,39,132,121,223
36001001600,509,106,20.8,431,0,145,104,260
36001001700,789,0,0,611,11,122,100,556
36001001801,1757,33,1.9,1208,31,248,443,1035
36001001802,836,44,5.3,608,132,219,244,241
36001001901,678,0,0,554,12,110,197,359
36001001902,792,43,5.4,602,0,200,226,366
36001002000,1280,86,6.7,1135,80,375,462,363
36001002100,372,83,22.3,234,49,121,100,102
36001002200,419,40,9.5,302,60,156,49,154
36001002300,336,74,22,295,40,78,181,37
36001002500,566,230,40.6,517,144,223,159,40
36001002600,1532,290,18.9,1226,194,530,575,233
36001012700,576,50,8.7,394,65,257,164,90
36001012800,828,231,27.9,513,282,360,147,39
36001012900,664,71,10.7,461,99,269,213,83
36001013000,1774,71,4,1306,182,471,792,329
36001013100,561,89,15.9,437,28,257,165,111
36001013200,944,114,12.1,678,156,280,393,115
36001013300,983,50,5.1,739,57,334,403,189
36001013400,669,21,3.1,482,0,300,260,109
36001013503,916,32,3.5,730,41,208,302,365
36001013505,669,0,0,509,16,188,149,316
36001013506,1644,62,3.8,1360,85,433,513,613
36001013507,926,46,5,856,40,217,206,463
36001013508,1798,67,3.7,1481,45,289,451,1013
36001013601,1768,23,1.3,1417,19,243,486,1020
36001013602,902,0,0,772,10,100,226,566
36001013703,443,17,3.8,329,18,61,206,158
36001013705,1723,112,6.5,1250,148,493,424,658
36001013706,602,0,0,394,0,68,31,503
36001013707,1564,86,5.5,1250,77,348,386,753
36001013801,1840,33,1.8,1276,145,702,565,428
36001013802,1287,6,0.5,1035,33,320,332,602
36001013901,745,12,1.6,566,36,215,298,196
36001013902,1443,14,1,1185,66,379,472,526
36001014001,1019,13,1.3,641,119,252,430,218
36001014002,1250,60,4.8,925,123,353,424,350
36001014100,1298,25,1.9,876,86,118,263,831
36001014201,1701,12,0.7,1402,20,311,446,924
36001014202,1613,29,1.8,1342,33,209,292,1079
36001014203,1532,25,1.6,1245,17,115,229,1171
36001014301,696,18,2.6,566,24,288,159,225
36001014302,2200,29,1.3,1750,76,428,413,1283
36001014401,1119,17,1.5,764,123,452,402,142
36001014402,952,0,0,667,24,396,448,84
36001014501,702,10,1.4,466,40,85,233,344
36001014502,912,58,6.4,606,81,293,171,367
36001014503,859,45,5.2,685,56,152,192,459
36001014606,1075,11,1,879,60,235,255,525
36001014607,2474,106,4.3,2007,67,329,682,1396
36001014608,802,17,2.1,559,36,209,233,324
36001014609,931,8,0.9,725,58,166,191,516
36001014611,492,55,11.2,431,10,60,187,235
36001014612,440,20,4.5,374,3,63,139,235
36001014613,772,0,0,625,47,222,199,304
36001014614,1412,4,0.3,1017,27,245,272,868
36001014615,524,0,0,477,0,71,65,388
36001014700,728,52,7.1,536,57,196,247,228
36001014801,807,16,2,585,58,203,306,240
36001014802,501,46,9.2,343,49,169,128,155
36001014803,924,81,8.8,730,56,340,342,186
36003940200,0,#VALUE!,-,0,0,0,0,0
36003950100,760,40,5.3,538,70,348,256,86
36003950300,1040,150,14.4,743,146,384,204,306
36003950400,991,106,10.7,624,146,417,307,121
36003950500,1123,80,7.1,792,133,337,437,216
36003950600,1065,177,16.6,739,149,427,319,170
36003950700,1079,117,10.8,761,78,319,411,271
36003950800,817,40,4.9,628,26,205,178,408
36003950900,1205,183,15.2,825,159,450,361,235
36003951000,986,113,11.5,688,93,405,399,89
36003951100,980,156,15.9,693,105,255,475,145
36003951200,1484,132,8.9,1011,197,619,470,198
36003951300,1057,110,10.4,773,106,532,252,167
36005000100,0,#VALUE!,-,0,0,0,0,0
36005000200,1055,103,9.8,851,180,411,336,128
36005000400,1224,102,8.3,1035,201,295,330,398
36005001600,1407,183,13,973,396,356,508,147
36005001900,374,144,38.5,209,125,111,103,35
36005002000,2034,547,26.9,1146,731,549,438,316
36005002300,1119,493,44.1,656,445,269,308,97
36005002400,0,#VALUE!,-,0,0,0,0,0
36005002500,1121,567,50.6,628,585,340,169,27
36005002701,769,353,45.9,453,283,296,108,82
36005002702,1100,421,38.3,652,558,310,147,85
36005002800,1313,67,5.1,946,219,449,405,240
36005003100,333,108,32.4,292,85,85,102,61
36005003300,938,470,50.1,511,309,275,282,72
36005003500,872,367,42.1,559,294,249,290,39
36005003700,49,9,18.4,49,0,49,0,0
36005003800,374,97,25.9,243,44,77,146,107
36005003900,1502,463,30.8,1094,536,365,325,276
36005004001,338,34,10.1,208,56,130,73,79
36005004100,1347,602,44.7,771,568,303,351,125
36005004200,1481,275,18.6,836,439,444,384,214
36005004300,1069,456,42.7,599,519,207,226,117
36005004400,1101,500,45.4,655,368,231,415,87
36005004600,354,55,15.5,125,83,178,30,63
36005004800,914,390,42.7,634,335,360,169,50
36005005001,1069,347,32.5,680,440,347,157,125
36005005002,1169,395,33.8,823,608,263,208,90
36005005100,1229,450,36.6,726,491,416,248,74
36005005200,379,134,35.4,241,121,115,105,38
36005005300,931,424,45.5,591,292,226,243,170
36005005400,1320,421,31.9,947,624,375,146,175
36005005600,534,122,22.8,384,193,158,119,64
36005005902,564,118,20.9,420,218,167,103,76
36005006000,251,98,39,228,95,90,54,12
36005006100,733,143,19.5,438,75,159,315,184
36005006200,1619,584,36.1,1062,721,417,346,135
36005006300,1305,361,27.7,935,534,339,269,163
36005006400,803,159,19.8,478,210,283,276,34
36005006500,1061,449,42.3,851,385,313,271,92
