GEO_ID,Total!!Estimate!!Population for whom poverty status is determined,Below poverty level!!Estimate!!Population for whom poverty status is determined,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree",Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over,Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed,Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed
36001000100,2001,764,1225,223,353,487,162,805,641,164
36001000200,4498,1668,2755,341,1346,723,345,2026,1866,160
36001000300,5055,1755,3232,309,1324,711,888,2352,2125,227
36001000401,1883,126,1672,141,298,383,850,961,885,76
36001000403,4654,751,3036,223,325,683,1805,2893,2678,215
36001000404,8,0,8,0,4,4,0,4,4,0
36001000501,3667,989,2290,315,783,602,590,2009,1799,210
36001000502,1778,425,1164,52,242,269,601,1241,1136,105
36001000600,3840,1797,1777,339,717,487,234,1817,1607,210
36001000700,3907,1459,2306,358,906,793,249,1908,1519,389
36001000800,2170,1133,1308,344,467,334,163,844,670,174
36001001100,1218,522,1057,196,369,212,280,498,472,26
36001001400,3330,693,2618,130,477,501,1510,2435,2417,18
36001001500,4601,1595,2780,109,347,983,1341,2854,2770,84
36001001600,3917,1099,2246,55,390,629,1172,2455,2238,217
36001001700,4749,672,3200,84,350,977,1789,3276,3079,197
36001001801,6817,465,5453,293,1262,1330,2568,3805,3607,198
36001001802,3980,402,3137,346,828,822,1141,2314,2165,149
36001001901,2509,300,1833,56,281,282,1214,1595,1514,81
36001001902,2720,213,2051,44,433,601,973,1463,1431,32
36001002000,6970,2049,4162,541,1231,1204,1186,3466,3348,118
36001002100,2055,680,1283,217,346,321,399,1113,1099,14
36001002200,2424,432,1784,104,332,310,1038,1731,1557,174
36001002300,1988,803,1369,216,415,306,432,1133,1035,98
36001002500,2790,1258,1710,338,727,462,183,1209,992,217
36001002600,5628,1821,3326,688,1189,993,456,2582,2267,315
36001012700,2300,204,1768,140,634,591,403,1408,1369,39
36001012800,3778,1172,2368,481,993,642,252,1911,1624,287
36001012900,3258,758,2242,523,843,636,240,1749,1454,295
36001013000,6264,582,4610,251,1854,1332,1173,3766,3520,246
36001013100,2608,280,1731,118,631,689,293,1460,1367,93
36001013200,3312,786,2328,297,932,739,360,1688,1438,250
36001013300,4840,432,3045,217,1069,1164,595,3031,2896,135
36001013400,2035,264,1476,108,441,688,239,1237,1119,118
36001013503,4580,441,3164,241,617,1021,1285,2640,2573,67
36001013505,2625,285,1848,78,543,428,799,1430,1341,89
36001013506,6571,749,4590,301,1137,1349,1803,3574,3447,127
36001013507,2432,341,1734,91,389,666,588,1497,1402,95
36001013508,6713,368,4542,85,945,1017,2495,4046,3797,249
36001013601,7885,611,5446,175,1043,1642,2586,4617,4404,213
36001013602,4253,291,2961,137,497,686,1641,2557,2533,24
36001013703,1617,149,1092,76,259,300,457,889,861,28
36001013705,6250,259,4725,170,1693,1535,1327,3465,3283,182
36001013706,2165,80,1444,60,116,301,967,1040,1017,23
36001013707,5985,222,4371,141,1124,1039,2067,3019,2885,134
36001013801,7601,409,5379,708,1615,1820,1236,4527,4263,264
36001013802,4459,121,2898,109,719,864,1206,2704,2543,161
36001013901,2525,176,1818,173,580,548,517,1390,1354,36
36001013902,5358,184,4037,164,952,1479,1442,3126,2976,150
36001014001,3993,360,3095,409,868,770,1048,2280,2125,155
36001014002,4340,454,3090,194,1003,1194,699,2600,2395,205
36001014100,5021,95,3826,196,500,945,2185,2742,2658,84
36001014201,5903,457,3768,101,807,926,1934,3085,2840,245
36001014202,5850,153,4219,76,418,1067,2658,3116,3037,79
36001014203,6331,126,4385,109,392,728,3156,3537,3384,153
36001014301,2842,485,2122,169,603,768,582,1489,1313,176
36001014302,8269,145,5416,105,1228,1180,2903,4618,4451,167
36001014401,4155,343,3011,248,1208,950,605,2375,2280,95
36001014402,3244,388,2110,195,896,682,337,1668,1627,41
36001014501,2426,186,1679,110,272,494,803,1302,1260,42
36001014502,3489,235,2270,142,694,673,761,1942,1885,57
36001014503,2816,94,1876,39,281,570,986,1498,1403,95
36001014606,3638,145,2400,42,678,524,1156,1991,1856,135
36001014607,7848,178,5455,160,997,1294,3004,4285,4048,237
36001014608,2581,242,1981,152,477,620,732,1501,1397,104
36001014609,4807,419,3523,182,752,889,1700,3024,2977,47
36001014611,2017,61,1424,46,252,319,807,1145,1109,36
36001014612,1604,106,1181,30,279,368,504,862,810,52
36001014613,3218,165,2281,83,587,910,701,1761,1592,169
36001014614,5392,379,3757,37,545,1104,2071,3023,2942,81
36001014615,2743,264,1949,27,458,302,1162,1575,1523,52
36001014700,2765,170,1814,101,564,590,559,1498,1378,120
36001014801,2817,256,2170,75,821,673,601,1519,1429,90
36001014802,1768,273,1343,135,585,294,329,839,768,71
36001014803,3390,135,2504,212,1070,532,690,1857,1738,119
