GEO_ID,Estimate!!Total!!Population for whom poverty status is determined,Estimate!!Total!!Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,Estimate!!Total!!Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Total!!Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree",Estimate!!Total!!Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!Total!!Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over,Estimate!!Total!!Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed,Estimate!!Total!!Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed,Estimate!!Below poverty level!!Population for whom poverty status is determined
36001000100,2294,1260,337,367,333,223,973,813,160,543
36001000201,3055,2280,268,605,635,772,1497,1386,111,721
36001000202,2256,1497,137,471,688,201,1405,1379,26,781
36001000301,2543,1618,228,496,582,312,1124,1038,86,927
36001000302,2984,2317,39,491,629,1158,1708,1648,60,596
36001000401,1982,1732,68,201,292,1171,1063,1010,53,180
36001000403,4301,3220,123,520,632,1945,2489,2407,82,533
36001000404,118,64,0,7,0,57,118,118,0,0
36001000501,3766,2353,235,820,542,756,2195,1920,275,1540
36001000502,1717,1097,57,289,88,663,1285,1285,0,422
36001000600,2965,1540,262,551,431,296,1712,1243,469,1321
36001000700,3339,2308,320,938,500,550,1948,1781,167,681
36001000800,1283,980,221,225,282,252,794,682,112,610
36001001100,2034,1621,84,403,347,787,1497,1457,40,580
36001001400,3770,3029,143,447,418,2021,2872,2774,98,579
36001001500,5644,2712,289,421,646,1356,2637,2473,164,2884
36001001600,4065,2214,182,265,564,1203,2717,2638,79,679
36001001700,4327,3158,205,473,611,1869,2640,2463,177,974
36001001802,4170,3294,86,476,1023,1709,2546,2461,85,378
36001001803,3542,2860,54,509,562,1735,1999,1971,28,235
36001001804,3597,2824,101,337,727,1659,1811,1620,191,437
